% Model,20260626_TI_field_CompactX_X10_Y50.mph
% Version,COMSOL 6.3.0.335
% Date,"Jun 30 2026, 17:16"
% Table,Table 2 - Point Evaluation 1
% Time (s),"withsol('sol1',ec.normE, setval(t,t)) (V/m), Point: (0, 0)","withsol('sol1',ec.normE, setval(t,t)) (V/m), Point: (1, 10)","withsol('sol1',ec.normE, setval(t,t)) (V/m), Point: (-1, 10)","withsol('sol1',ec.normE, setval(t,t)) (V/m), Point: (3, -8)","withsol('sol1',ec.normE, setval(t,t)) (V/m), Point: (-3, -8)","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: (0, 0)","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: (1, 10)","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: (-1, 10)","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: (3, -8)","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: (-3, -8)","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: (0, 0)","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: (1, 10)","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: (-1, 10)","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: (3, -8)","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: (-3, -8)","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: (0, 0)","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: (1, 10)","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: (-1, 10)","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: (3, -8)","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: (-3, -8)","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: (0, 0)","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: (1, 10)","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: (-1, 10)","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: (3, -8)","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: (-3, -8)","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: (0, 0)","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: (1, 10)","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: (-1, 10)","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: (3, -8)","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: (-3, -8)"
0,18177.429974892213,17876.833257101356,18399.85384073423,17838.276992627147,18529.225810289845,18177.025308728116,18407.967849264005,17880.637640041095,18530.574296846138,17836.28436414168,27965.058985388663,27761.747789738587,28004.978317693072,27813.224692687218,28130.987857112374,0.09977116096604821,0.09812126416776579,0.1009919874168868,0.09790963891191723,0.10170207633577447,0.09975235858115356,0.1010197311420597,0.09812583452104215,0.10169257403663945,0.09788243144454194,0.15348396942241976,0.15236794987375765,0.15370323550786968,0.152650418810907,0.15439487842550811
4.8076923076923084E-5,17436.42216714053,17148.07935516448,17649.778864441836,17111.094847151606,17773.87695096351,17376.01141447508,17596.776922157624,17092.684774018555,17713.980424738,17050.286030813444,26792.7360038898,26597.359797451074,26831.604744097127,26646.469120323844,26952.5118051226,0.09569561802341393,0.09411311770711296,0.09686657504727861,0.09391013711180177,0.09754765760947963,0.09534678216276184,0.09655818104297458,0.0937920937579182,0.0972013077400447,0.09355944061123661,0.14703619302417603,0.14596381595622968,0.14724968088640558,0.1462332631674374,0.14791326014302994
9.615384615384617E-5,15116.40218555023,14866.425104738535,15301.370501554025,14834.361606137792,15408.956597390496,14874.112457182875,15063.090865956343,14631.580830577515,15163.4187280976,14595.286904460998,23125.539660934995,22955.043399786966,23161.062380976728,22996.766016440724,23265.989893534294,0.08249930496970427,0.08113502958379044,0.08350878839865912,0.08096003977358367,0.08409595047743716,0.08111646727663,0.08214706731783514,0.07979381297979624,0.08269420865280505,0.0795958828459045,0.12617740272553454,0.1252465466691652,0.1263718535771451,0.1254739802311619,0.12694454032784114
1.4423076923076924E-4,11427.46701901985,11238.493160596241,11567.29654358209,11214.254286274361,11648.627838342909,10916.231738546312,11054.924525069968,10738.235811221402,11128.555956600361,10711.59940455648,17305.437954003726,17174.62564822611,17335.44962175896,17204.68976235661,17414.953913027966,0.061831997830643734,0.060809493789752686,0.06258859059481468,0.060678341538602604,0.06302865980987732,0.0589459074018013,0.059694826291353004,0.057984757831025566,0.06009242425819779,0.05784092549048971,0.09357210180998012,0.09286359815236285,0.09373564463498593,0.09302572895339292,0.09416589408388933
1.9230769230769233E-4,6703.680243242673,6592.822752331063,6785.708256945953,6578.603532740268,6833.419529526128,5889.794199482001,5964.625147481446,5793.757452974701,6004.352590862452,5779.3859228324645,9875.107888476216,9795.376485104616,9897.677137090774,9810.681900484602,9944.588307263348,0.03556529212394905,0.03497715562200691,0.036000478493800905,0.03490171785048864,0.03625360293967969,0.031005311410197637,0.031399239749161874,0.03049975058219062,0.03160837468865897,0.03042409534664091,0.052260459802978394,0.051836055904102674,0.052382541065151826,0.05191615177151054,0.05263154292397408
2.4038461538461543E-4,1372.8198022298927,1350.1177410893115,1389.6179903091788,1347.205844113579,1399.388590548301,286.8225675632016,290.4667024703687,282.1457477490011,292.40135874648956,281.44587963209545,1527.2627231842418,1505.9280505642432,1541.0463215522857,1504.5854525200311,1550.884684930769,0.006077855197768751,0.005977346857140775,0.006152225449833105,0.005964455079108001,0.00619548261537821,2.9699511056610352E-5,3.0076848955363604E-5,2.9215242112989766E-5,3.0277176098041614E-5,2.914277312600999E-5,0.006093847242179954,0.005993473553551714,0.0061678998794935345,0.005980750414845182,0.006211168961301961
2.884615384615385E-4,4082.3608209526515,4014.8515930083713,4132.313673298251,4006.1924710252842,4161.368554025236,5344.225255679017,5412.124647179017,5257.084349091399,5448.172155643641,5244.0440472154005,6960.020573507555,6921.904398770778,6956.96176246304,6939.015392765522,6984.44868489793,0.023959981762094587,0.02356376008026378,0.02425316246895966,0.023512938407734083,0.024423689877694665,0.030948819583155276,0.031342030182784565,0.030444179889417267,0.03155078407741286,0.03036866249807203,0.04062473076547982,0.040398493018999566,0.04061072514628196,0.04049711510002697,0.040772344184434275
3.365384615384616E-4,9167.849922990805,9016.242924649649,9280.030172022023,8996.796938788139,9345.279374069074,10452.143075488533,10584.939527872813,10281.7144015823,10655.440619791883,10256.210405318141,14795.926962599306,14701.001629828936,14803.768335412695,14732.6698984351,14866.542054411952,0.05182804429664057,0.050970973741198626,0.05246222602570857,0.05086104094069598,0.0528310953421155,0.05889785258346241,0.05964616092746875,0.0579374865762974,0.06004343475818776,0.057793771493045404,0.08354227260494973,0.08300449891223743,0.08358841904983345,0.08318268768093073,0.0839434155967993
3.8461538461538467E-4,13423.114424043513,13201.138922337748,13587.363220818359,13172.667067377188,13682.897889526103,14536.932306706249,14721.626777968144,14299.898611529678,14819.680315254656,14264.427429728565,21250.693356950505,21107.143426304174,21269.493373642406,21150.12325208256,21361.88387600075,0.07500264895856934,0.07376234435369922,0.07592040131150356,0.07360325574912163,0.07645420836954557,0.08108155340743124,0.08211170986133245,0.07975946840288363,0.08265861569762202,0.07956162346139588,0.11866194693896326,0.11785899236735803,0.1187683765545833,0.11809850390660145,0.11928470401036759
4.3269230769230776E-4,16462.804945341555,16190.562657018307,16664.24820347014,16155.643294801705,16781.416884803537,17198.745318980502,17417.258627430834,16918.30911212844,17533.266446676014,16876.342911207194,25723.66780764199,25543.87719921444,25752.756762579796,25593.78905685945,25866.450089458423,0.09138514371168259,0.08987392489293218,0.0925033566258822,0.08968008727260687,0.09315376078347934,0.09532842685547958,0.0965395925280457,0.09377403774530295,0.09718259541613271,0.0935414293869183,0.14271583508560867,0.14171697704729286,0.14287866818025896,0.14199340562915244,0.14350986503872212
4.8076923076923085E-4,18011.652381111806,17713.79709600109,18232.04774824252,17675.592463454945,18360.23984947544,18177.025308728116,18407.967849264005,17880.637640041095,18530.574296846138,17836.28436414168,27799.281391614335,27598.80016662462,27837.244408328545,27650.550212302413,27962.009385279453,0.0994919582222818,0.09784667854690912,0.10070936827411846,0.09763564550980895,0.10141747005792077,0.10024388969070838,0.10151750724722107,0.098609350911072,0.10219366558435508,0.09836474846258735,0.15346943727608295,0.15236107674911717,0.15368068700413257,0.15264620802094536,0.15436995143112298
5.288461538461539E-4,17929.39579174999,17632.90076828312,18148.784645384432,17594.870610721562,18276.391311988315,17376.01141447508,17596.776922157624,17092.684774018555,17713.980424738,17050.286030813444,27285.70962848171,27081.925294398752,27330.402001886217,27130.215835113122,27455.004533608422,0.09858895341753524,0.09695860656164415,0.09979531406250713,0.09674948889388521,0.10049698900212592,0.09534678216276184,0.09655818104297458,0.0937920937579182,0.0972013077400447,0.09355944061123661,0.14992952841819449,0.1488078050164537,0.15017719788968864,0.149072444708485,0.1508624647626293
5.76923076923077E-4,16223.484191436632,15955.19950510785,16421.999057194393,15920.7877676927,16537.46445058602,14874.112457182879,15063.090865956345,14631.580830577523,15163.418728097588,14595.286904461003,24232.62166678374,24043.268186636513,24281.24349980079,24083.129781725183,24394.451334406145,0.08875790384763792,0.0872901311970791,0.08984396915638057,0.08710186623224891,0.09047567478529797,0.08111646727663002,0.08214706731783514,0.07979381297979628,0.08269420865280497,0.07959588284590453,0.13243600160325586,0.13139854925310987,0.13270451156219198,0.1316154548613477,0.13332400295194324
