% Model,20260626_TI_field_Base_X50_Y50_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 7 2026, 21:51"
% Dimension,2
% Nodes,861
% Expressions,2
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=3,ec.Ey (V/m) @ idx=3
23.585786437627657,18.585786437626155,-0.09528737490619932+2.5727884731562405E-7i,-0.09473647817248476+2.5579140916571153E-7i
23.429694821437153,18.031785529616226,-0.06581934298056273+1.777142534336863E-7i,-0.08680488571928409+2.343758652309147E-7i
24.010119121163264,18.26214619552926,-0.06817533313939994+1.8407549943242792E-7i,-0.12029343196848441+3.247959716275062E-7i
24.12416789320276,17.789608110579888,-0.04234408850009545+1.1433034324495012E-7i,-0.11045124172449636+2.9822175480679257E-7i
24.471183362852003,18.07117834824588,-0.03703833971418854+1.0000465809380995E-7i,-0.13543710581307045+3.656843574676698E-7i
23.26214619552875,19.010119121164173,-0.11210833812996295+3.0269596614387665E-7i,-0.06343989780344443+1.71289678163113E-7i
22.9950238641395,18.712632554178498,-0.09089873770552767+2.454293916937441E-7i,-0.061980718779629206+1.6734984985276319E-7i
23.071178348245958,19.471183362851708,-0.11760249447509515+3.1753035750830514E-7i,-0.0320544102787658+8.65478951017504E-8i
22.728031522953625,19.102603284528474,-0.0944053528245802+2.548973605269487E-7i,-0.04205957000701562+1.1356213454980513E-7i
23,20,-0.11319863381044189+3.0563979806476396E-7i,-2.9063807493791516E-4+7.847317546435788E-10i
22.484184347533873,19.68380716306269,-0.09197529690488306+2.483361346924859E-7i,-0.018020045382189327+4.865467759048336E-8i
24.46601581622191,17.551233155498814,-0.023581367494742527+6.367041859581317E-8i,-0.11062238053753576+2.9868383487345567E-7i
25,18.000000000000004,-0.0013552436252022293+3.6591995326545253E-9i,-0.14228841552505356+3.8418310472600123E-7i
23.071178348245425,20.528816637146335,-0.09859815491330452+2.6621805531437606E-7i,0.02611910632059485-7.052239159375741E-8i
22.54814116469218,20.325638682284616,-0.08801413970726817+2.3764088824622448E-7i,0.004581023803274705-1.2368905374844244E-8i
23.262146195529965,20.989880878837976,-0.07895069700337864+2.1316931377099236E-7i,0.04418676239697339-1.193056195250787E-7i
22.707915906761755,20.825340996114704,-0.07916164179800671+2.137388712140634E-7i,0.02042796505481888-5.5156134876036656E-8i
23.585786437626492,21.414213562372687,-0.05486509130286091+1.4813743648791598E-7i,0.05469928369417687-1.476897508372067E-7i
23.053031674421213,21.52410264258244,-0.058334374609043387+1.5750460827646217E-7i,0.03498841143291672-9.446978859190245E-8i
24.010119121161605,21.737853804469793,-0.03266081819384459+8.818521515120523E-8i,0.05736243927907869-1.548803529477096E-7i
23.739754112471083,21.97282282690569,-0.035855528889431866+9.681103243369601E-8i,0.04584363110053176-1.2377921606004034E-7i
24.08567234454663,22.119958292989384,-0.02491047228082057+6.725904245767423E-8i,0.04736544833914054-1.2788816947972237E-7i
24.47118336285124,21.92882165175391,-0.015313834257499381+4.1347824196337556E-8i,0.05600992906137203-1.512285336994891E-7i
24.690399531949552,22.288518061984895,-0.007980671541203743+2.1548058984168614E-8i,0.047142831951053954-1.2728709837476976E-7i
25,22,4.4278344946135917E-7-1.19552894221146E-12i,0.05503548586867302-1.4859750706411542E-7i
-23.2079918403143,-23.123490391622546,0.0011861538869788607-3.202652031092481E-9i,-0.001269669391212956+3.428146464992089E-9i
-24.999999999999996,-22.222222222222218,5.197979142473885E-6-1.403470379415055E-11i,-0.0018400625474503107+4.968225556245098E-9i
-25,-25,2.058125289264301E-6-5.557001676319153E-12i,1.8061827470189362E-6-4.876749052840444E-12i
-22.222222222222218,-24.999999999999996,0.0018812225604413386-5.0793588591461614E-9i,7.313591320302441E-6-1.9746921840922014E-11i
-22.95837538569384,-20.82818203900118,0.0012705337541175827-3.4304802714602965E-9i,-0.002771898357470873+7.484210945973481E-9i
-24.999999999999996,-19.444444444444443,2.8291524500345666E-6-7.638798758017899E-12i,-0.003554624043612379+9.597594408295896E-9i
-19.444444444444443,-24.999999999999996,0.0038992877537565307-1.052819704211573E-8i,3.898565918855623E-6-1.0526248064941246E-11i
-20.85936159365543,-22.567047696889343,0.002767140478306913-7.471364525678968E-9i,-0.0017441898366238409+4.70936628391494E-9i
-22.859932332103014,-18.114344105871318,0.001157051751850181-3.124075369833593E-9i,-0.0043780228601002225+1.1820796575377044E-8i
-24.999999999999996,-16.66666666666666,8.119562618646992E-7-2.1923069183049772E-12i,-0.005039180229113834+1.3605941836872207E-8i
-17.99793821419065,-22.80446810932552,0.004931877889437729-1.3316222214589502E-8i,-0.0018127006170007218+4.894347501223573E-9i
-16.66666666666666,-24.999999999999996,0.006218957076036508-1.6791375663385942E-8i,1.0203761315834744E-5-2.7550469853575035E-11i
-20.822966586744265,-19.497543445502803,0.0024876255380270468-6.716665577222359E-9i,-0.003789781783832316+1.0232527550285287E-8i
-18.83099833545155,-20.754324163896406,0.00400025439064752-1.0800810071722648E-8i,-0.003260289943165057+8.802883270924876E-9i
-20.573502400417386,-16.837148245382775,0.0022045397780631284-5.952325305632503E-9i,-0.005338530377728336+1.4414196458799542E-8i
-22.7592088580988,-15.426583199010674,9.757243435379014E-4-2.6344857820916096E-9i,-0.005710316104453429+1.541802937280845E-8i
-24.999999999999996,-13.88888888888889,-2.242073996456632E-6+6.053668852477847E-12i,-0.006227732906792923+1.6815070676744657E-8i
-15.242977864370976,-22.78404100831942,0.0073823593934207775-1.993259775577391E-8i,-0.002244673902654523+6.060688678251527E-9i
-13.88888888888889,-24.999999999999996,0.009076802264133044-2.450764569940922E-8i,1.519752003268741E-5-4.103377220605525E-11i
-16.547289609740595,-20.578753749997738,0.00568591522620789-1.5352146249942688E-8i,-0.003900126755589532+1.0530462372906601E-8i
-18.10630201955236,-18.264473215223163,0.003923384493521978-1.0593258981716669E-8i,-0.00509917498902427+1.3767929536605553E-8i
-20.466375217453415,-14.262934772403291,0.0017613673750697643-4.755746166828228E-9i,-0.006524572616667044+1.761654703674437E-8i
-18.377589106486383,-15.483567560938653,0.0029603474312685438-7.993029249889994E-9i,-0.006530685496112421+1.7633051999537464E-8i
