% Model,20260626_TI_field_CompactX_X10_Y50_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 8 2026, 16:22"
% Dimension,2
% Nodes,482
% Expressions,2
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=3,ec.Ey (V/m) @ idx=3
3,20,-0.10162201835655142+2.7438257975305876E-7i,-6.747283007166871E-4+1.8217871951175033E-9i
2.4274017777645414,19.70447539043355,-0.08215590205440004+2.218234661363801E-7i,-0.02312137298808401+6.242841925894102E-8i
3.071178348246208,19.471183362850812,-0.1151483144289475+3.109039957893478E-7i,-0.03181474636684012+8.590079515736396E-8i
3.2621461955295774,19.010119121162717,-0.11889688449322892+3.210252504274116E-7i,-0.06778709274267758+1.8302723840256197E-7i
2.9521975527432467,18.613202865241817,-0.08943995783124681+2.414906410994319E-7i,-0.07429214901734722+2.0059109071481172E-7i
3.5857864376264357,18.58578643762738,-0.1084659978162561+2.928615351044901E-7i,-0.10889694326507426+2.9402510109038917E-7i
2.724062036575097,19.092286204860613,-0.09302174904524411+2.5116158770457537E-7i,-0.04939397360197765+1.3336525017256018E-7i
3.5857864376264303,21.41421356237262,-0.0411588810546869+1.1113024663518546E-7i,0.040813509859380925-1.1019773376964288E-7i
3.0768294125148827,21.576621485141718,-0.0437085812549289+1.1801451571250809E-7i,0.025115305065392796-6.781209728533634E-8i
3.2621461955301183,20.989880878838242,-0.06184806607804055+1.6699168347241744E-7i,0.03449424076894925-9.313551257756601E-8i
3.0711783482463786,20.52881663714981,-0.082124723482402+2.2173928303161094E-7i,0.021561722209028893-5.821731411466756E-8i
2.432625319782251,20.3810657700067,-0.07161194713379669+1.9335446307285908E-7i,-0.0023121596769343383+6.24290234755008E-9i
2.696987691492757,20.890813608140835,-0.06285479125646092+1.697098724636159E-7i,0.013760180130246047-3.715291019663126E-8i
3.4731219268274516,18.02429400149271,-0.07215556719302067+1.9482225397749957E-7i,-0.10898162023843279+2.942537315266659E-7i
4.010119121163336,18.262146195529226,-0.08226304388579098+2.2211275238137875E-7i,-0.1459229034902393+3.9399633418250574E-7i
4.132584563614212,17.79208456537386,-0.049323556236904056+1.3317512111787095E-7i,-0.13903986948241318+3.754119303482265E-7i
4.471183362852986,18.07117834824561,-0.04629074075362164+1.2498642589540037E-7i,-0.16970886620878187+4.582191661846097E-7i
4.010119121164105,21.737853804471214,-0.023805662648130443+6.427602241873471E-8i,0.04169906799098152-1.1258876800218355E-7i
