% Model,20260626_TI_field_CompactY_X50_Y10_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 8 2026, 16:58"
% Dimension,2
% Nodes,488
% Expressions,2
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=1,ec.Ey (V/m) @ idx=1
-19.471183362850812,3.071178348246208,0.031349866429824624-8.139000481542859E-8i,-0.11555961004334561+3.0001394867031506E-7i
-19.209052846331954,2.7860807851292435,0.044908156830655944-1.1658981415059685E-7i,-0.09747076459356327+2.530519872354763E-7i
-19.010119121162717,3.2621461955295774,0.06754327368931218-1.7535473023876117E-7i,-0.11870058493554381+3.081684957454284E-7i
-18.635203297185306,3.0331894324682613,0.07644900173148653-1.9847563411441378E-7i,-0.09321915272716415+2.4201402281372387E-7i
-18.58578643762738,3.5857864376264357,0.10859691429942575-2.8193751311690137E-7i,-0.10848827062975208+2.816554542182594E-7i
-18.093238150159703,3.444173184951757,0.10701766187373302-2.778374840842402E-7i,-0.07585981581947321+1.9694599939255347E-7i
-18.262146195529226,4.010119121163336,0.14575144711052382-3.7839749680393006E-7i,-0.0825932500333526+2.144272299527939E-7i
-17.804897225738408,4.094819570099488,0.13752838878890017-3.57048928767929E-7i,-0.0512271950382619+1.329951966519042E-7i
-18.07117834824561,4.471183362852986,0.16928885755947629-4.3950493259061906E-7i,-0.046338243618336605+1.2030258182048948E-7i
-20,3,1.4327279761946107E-4-3.719624679800934E-10i,-0.1019547195682593+2.646931569929265E-7i
-19.867598057790058,2.629309074375312,0.014460005894260239-3.754082818820925E-8i,-0.08814062264390549+2.2882922699146164E-7i
-17.508290112500276,4.461991456217362,0.13879380035120767-3.603341693408362E-7i,-0.02688475683445435+6.979776112016986E-8i
-18.000000000000004,5,0.1798901387857802-4.6702780360475536E-7i,-0.001984739733598584+5.152748476188879E-9i
-20.52881663714981,3.0711783482463786,-0.021765618419309424+5.650753861818607E-8i,-0.08221489205067693+2.1344494321477115E-7i
-20.400197401477875,2.58366477922622,-0.002010938625463651+5.2207656060038884E-9i,-0.07487160300855929+1.9438041763419308E-7i
-20.989880878838242,3.2621461955301183,-0.03464175516448198+8.993635191280889E-8i,-0.06195630609071706+1.6084993734685755E-7i
-20.901354391925196,2.7317643340413347,-0.015046566197976322+3.906364634919606E-8i,-0.06293915075713807+1.6340158241724683E-7i
-21.41421356237262,3.5857864376264303,-0.040965690578426084+1.0635444846020993E-7i,-0.041322460271900924+1.0728068803877722E-7i
-21.534736066660773,3.101805363345306,-0.02613647214138008+6.785507677382661E-8i,-0.044685683293840185+1.160122320331862E-7i
-21.907352805305788,3.6427936626274544,-0.03278020027273858+8.510341388602462E-8i,-0.029440140958228556+7.643200712578865E-8i
-21.737853804471214,4.010119121164105,-0.04175565371784484+1.0840533769974395E-7i,-0.0238854166728531+6.201092379049257E-8i
-22.172547144055194,4.184808986442242,-0.033831075139459+8.783167783743312E-8i,-0.015957149118777936+4.142768667051898E-8i
-21.928821651754532,4.471183362853514,-0.04027701884914281+1.0456653030470728E-7i,-0.011069902218557711+2.8739497084994664E-8i
-22,5,-0.03961795210222041+1.0285547211485909E-7i,-9.167752253152334E-5+2.380116680013855E-10i
-22.45778429703615,4.488126221404927,-0.030086038495190277+7.810887563050251E-8i,-0.008927856441003551+2.3178353258723902E-8i
23.214485564155446,3.26433884435356,2.1145895027289975E-5-5.489862299555115E-11i,-2.5424572516372092E-5+6.600685473993195E-11i
25,2.5,6.187752341578016E-7-1.6064540313408812E-12i,-2.9764378454981883E-5+7.7273787153613E-11i
25,5,3.13354215332462E-7-8.135250323775108E-13i,4.5583819793804103E-7-1.1834395908328462E-12i
