% Model,20260626_TI_field_CompactXY_X10_Y10_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 3 2026, 20:44"
% Dimension,2
% Nodes,277
% Expressions,4
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=1,ec.Ey (V/m) @ idx=1,ec.Ex (V/m) @ idx=2,ec.Ey (V/m) @ idx=2
-4.757810477258108,-4.737161513544736,0.00314618480774162-8.168072971703803E-9i,-0.003808756857133916+9.888231569872524E-9i,0.004406928590639014-1.1441195132866801E-8i,-0.005334938728006777+1.3850479705688796E-8i
-4.509569930730237,-4.438937427344177,0.003202186335088675-8.3134632109568E-9i,-0.011627091598862119+3.018606294030418E-8i,0.004485627046804358-1.1645510763397543E-8i,-0.01628658215465892+4.228295527069379E-8i
-5,-4.500000000000001,-4.431104071509484E-4+1.1503959116444457E-9i,-0.0052994337252366686+1.375830220464138E-8i,-6.206695955828234E-4+1.611372140492352E-9i,-0.007422955759041061+1.927135499368212E-8i
-4.066253656949888,-4.629995570663171,0.019019642394249137-4.937848107011091E-8i,-0.012625962562509339+3.2779315218530215E-8i,0.026640043335509244-6.916243998084921E-8i,-0.017679025950537+4.589799482773277E-8i
-4.0367080448186465,-4.252731756168891,0.01696264024547674-4.4038126106598965E-8i,-0.029605202643161303+7.686053754271131E-8i,0.023780576918971397-6.173874055512511E-8i,-0.04149306797039614+1.0772361692439428E-7i
-3.603143032659244,-3.931359707687619,0.04623523452490589-1.2003515131550002E-7i,-0.046327487378396204+1.202746566482148E-7i,0.0650487254775805-1.6887842542197217E-7i,-0.06513031814688049+1.6909025496077405E-7i
-3.5110353837298627,-4.458308669802791,0.041832251086397466-1.0860419852134624E-7i,-0.01990780163699767+5.1684305409299915E-8i,0.05866231039740245-1.5229812019826446E-7i,-0.027765061405558653+7.20831932907132E-8i
-3.2238662481685614,-4.021690962232967,0.060140184660468145-1.561349529215204E-7i,-0.03191616105535816+8.28602095578479E-8i,0.0849046922895882-2.2042815811579426E-7i,-0.044333585739294315+1.1509812218446224E-7i
-3.2702817135208733,-3.5040292074535047,0.08127666720036267-2.1100913937312538E-7i,-0.04693617734704441+1.2185492747936112E-7i,0.11621402903876382-3.017129404445277E-7i,-0.06690948106004488+1.7370928829522332E-7i
-2.8535300978496916,-3.491787617323363,0.08414165697935758-2.184471784611375E-7i,-0.029261447116312244+7.596808512834505E-8i,0.1215109135148672-3.1546462433072056E-7i,-0.03889316089119179+1.0097378115812542E-7i
