% Model,20260626_TI_field_CompactXY_X30_Y30_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 3 2026, 21:00"
% Dimension,2
% Nodes,589
% Expressions,4
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=1,ec.Ey (V/m) @ idx=1,ec.Ex (V/m) @ idx=2,ec.Ey (V/m) @ idx=2
14.667049180496308,12.251974400625992,8.735713254274802E-4-2.2679514294712858E-9i,-0.004993231247718527+1.2963344395938284E-8i,3.1546212805505514E-4-8.189975602924336E-10i,-0.0017974262180434075+4.6664482245709675E-9i
14.471183362850207,11.928821651753625,0.0015744411008965786-4.087537950771658E-9i,-0.005756427794501057+1.4944742650261684E-8i,5.674934907775875E-4-1.4733172165321554E-9i,-0.002074420027553245+5.385574972367363E-9i
15,12,2.5852958723815433E-6-6.711902389824523E-12i,-0.005721333457638811+1.4853631313225472E-8i,7.877364921471397E-7-2.045108452517066E-12i,-0.002059741281722316+5.347466255170791E-9i
12.860544642125571,9.120457925547788,-3.468178532926025E-5+9.00402775637219E-11i,-0.002125340230308175+5.517773160733921E-9i,1.0789953096218552E-4-2.801269780289553E-10i,-7.427399454283997E-4+1.928289164171404E-9i
13.262146195528716,9.010119121164225,-0.0025521890526390423+6.625951014771226E-9i,-0.00156648022340297+4.066870052262271E-9i,-8.345458902805497E-4+2.1666342400673927E-9i,-5.189805429270007E-4+1.3473687035435182E-9i
13.071178348245667,9.471183362852797,7.880721940592139E-4-2.045979998456624E-9i,1.0407711854842905E-4-2.702032941298983E-10i,4.240539766532242E-4-1.1009219219261536E-9i,7.473164714932867E-5-1.9401706654758397E-10i
13.000000000000002,10,0.004070879571355583-1.0568750226026882E-8i,-8.597892640981187E-5+2.2321706697289226E-10i,0.0016066023429532155-4.171034435581179E-9i,-3.029802923353783E-5+7.865924247672448E-11i
12.580732177255339,9.727804235285793,0.002746749237174865-7.13106494858976E-9i,-0.0017083547684701578+4.435202400101871E-9i,0.0011207632953000128-2.909707134023972E-9i,-5.935348788438238E-4+1.5409254376075655E-9i
14.039947272336793,12.145082220850659,0.002523389789179381-6.551182843237069E-9i,-0.004747775558744236+1.2326096395146046E-8i,9.137056778573238E-4-2.3721475715835017E-9i,-0.0017107453549550233+4.441408801200724E-9i
14.010119121164154,11.737853804471241,0.003239654190343296-8.410736637194205E-9i,-0.005683997270163263+1.4756699720717039E-8i,0.0011716767031382618-3.0418876815339545E-9i,-0.0020547293049821094+5.334454244044072E-9i
13.080949686469625,8.656605989607343,-0.0018977806937745644+4.926986854979962E-9i,-0.003971451481001541+1.0310616662015458E-8i,-6.000698644486602E-4+1.5578914591702133E-9i,-0.0014384420252615809+3.734459399532376E-9i
13.58578643762806,8.585786437625751,-0.004932446869533105+1.2805536998436619E-8i,-0.0050720339940219785+1.3167930782789353E-8i,-0.0017826258081873186+4.62802364524594E-9i,-0.001839410077719465+4.775446026807125E-9i
13.07117834824585,10.528816637147889,0.005949985119573824-1.5447252976915335E-8i,-0.0016460745558230516+4.273511541906076E-9i,0.0022421761068611343-5.8211005314167906E-9i,-6.181220015800126E-4+1.6047581190732958E-9i
12.489999982702841,10.291151647130116,0.004252714717407656-1.1040827625325477E-8i,-0.002072006470470519+5.37930893538634E-9i,0.0016408775615005216-4.260019191187344E-9i,-7.290331540677208E-4+1.8927038191070113E-9i
13.505186700637505,12.070249175595896,0.0035785493913417787-9.290570753965386E-9i,-0.004101702549324816+1.0648772331724865E-8i,0.0013023420870257793-3.381118990461921E-9i,-0.0014759254575565292+3.831773266617866E-9i
13.585786437628277,11.414213562374467,0.005004190392455532-1.2991796346280778E-8i,-0.005031268687683592+1.3062096568577997E-8i,0.0018221377090512452-4.730603788890151E-9i,-0.0018302518743375702+4.751669650626464E-9i
13.262146195528594,10.989880878835557,0.006170687559345245-1.602023700145083E-8i,-0.003541922325745517+9.195480171933148E-9i,0.0022757551291080202-5.908277833696441E-9i,-0.0013040972872210566+3.385675812184543E-9i
12.688851225654687,10.854125791512596,0.005123376100782497-1.3301224311354228E-8i,-0.0026327427241919685+6.835083124814306E-9i,0.0019216159284562672-4.988867497112515E-9i,-9.43801442701823E-4+2.4502816985908325E-9i
13.102268353333017,11.626168508937829,0.004639881234340365-1.2045982934289222E-8i,-0.003783795501780133+9.823427311880557E-9i,0.0017021764599794338-4.419162377758655E-9i,-0.0013624218613672023+3.5370971071148464E-9i
13.424148477780326,8.106335815693217,-0.002655567833280433+6.894341295599042E-9i,-0.006959931757569343+1.8069259737736277E-8i,-9.137453721488146E-4+2.37225062524199E-9i,-0.002601266747854237+6.753365715549266E-9i
14.010119121164164,8.262146195528748,-0.005178584873411052+1.3444556413901065E-8i,-0.009278510993335688+2.408871680897655E-8i,-0.0019360189509042836+5.0262603858153796E-9i,-0.0034749534212914768+9.02161660960454E-9i
14.070965389945334,7.790429329966348,-0.0026456215181561936+6.868518836741571E-9i,-0.009988984855516764+2.593323730140957E-8i,-9.594251796573694E-4+2.490843786117964E-9i,-0.0037958513629530954+9.854726539302977E-9i
14.471183362851539,8.07117834824601,-0.003385900927085276+8.79041999674549E-9i,-0.012406117059532167+3.220855595912856E-8i,-0.0012869782611169371+3.3412316796999593E-9i,-0.004717597557806419+1.2247748768141621E-8i
14.446384978311212,7.491956538178917,-0.0013839628096769436+3.5930213609049574E-9i,-0.010836883344939+2.8134537338567375E-8i,-4.967891846480721E-4+1.289755866143061E-9i,-0.00415262979171245+1.0780988796263763E-8i
15,8,-2.2814000222193265E-4+5.922933011851567E-10i,-0.01382200367646269+3.588445738054548E-8i,-9.054885102899313E-5+2.35081429701195E-10i,-0.005284531980914026+1.3719614542444157E-8i
14.684257170137272,-7.731225666903335,0.0018757200669516083-4.869713420418908E-9i,-0.017146701972215517+4.451598411787757E-8i,0.0010797403740748779-2.803204104305835E-9i,-0.009659853398026497+2.507875165407448E-8i
14.47118336285277,-8.071178348245674,0.004761016163167486-1.2360471433396849E-8i,-0.017800962164218836+4.621456360934287E-8i,0.0026979347560471545-7.004333599891753E-9i,-0.010077882003063088+2.6164030605846852E-8i
15,-8,1.8104549168707074E-4-4.700273117010792E-10i,-0.019480135620736527+5.0574005969897225E-8i,9.778074737076814E-5-2.5385675939005504E-10i,-0.010981574277328154+2.8510181544592425E-8i
14.060674271277511,-7.836608844822351,0.004385140474725102-1.1384629186641281E-8i,-0.014264748980626768+3.703390541784299E-8i,0.002562455190917212-6.652603793222416E-9i,-0.008087865117288248+2.099758167442969E-8i
14.010119121163328,-8.262146195529226,0.007580451260101133-1.9680242209129724E-8i,-0.013644922398998874+3.5424721896245973E-8i,0.004349367772744084-1.1291756689304073E-8i,-0.007820837092866942+2.0304327933077693E-8i
13.647631904969856,-7.950293396047919,0.004494073949520921-1.166744047255431E-8i,-0.011872010650043082+3.082191773093904E-8i,0.0026860510946204777-6.9734814346049366E-9i,-0.006771907586436125+1.758111449385502E-8i
13.58578643762642,-8.585786437627393,0.007622494995204496-1.9789395458958208E-8i,-0.008027855296341507+2.0841785169624472E-8i,0.004484144271303128-1.1641661206163194E-8i,-0.004711055115171586+1.223076338675515E-8i
13.062244571545307,-8.419435004114652,0.003261763553682249-8.468136600684322E-9i,-0.007743044950877613+2.010236526043443E-8i,0.0020716642861060793-5.3784205620012065E-9i,-0.004496422111057681+1.1673536730705709E-8i
13.262146195528393,-9.010119121164793,0.004534249972408921-1.17717447988097E-8i,-0.0028848969872699026+7.489721852927784E-9i,0.002827664410510987-7.341135583557843E-9i,-0.001781833044398759+4.625965485003796E-9i
-13.585786437628101,11.414213562374295,0.054409323190611064-1.4125658514047992E-7i,0.05361827509059938-1.392028791442092E-7i,0.002908376116802107-7.550677980750841E-9i,0.0028750098157516585-7.464052941718919E-9i
-13.463984077050174,11.858829765865838,0.04346001088508252-1.1283016159360567E-7i,0.041202686029662795-1.0696973213168499E-7i,0.002311682013415676-6.001550616636953E-9i,0.0024090478692782025-6.254330241559939E-9i
