% Model,20260626_TI_field_CompactX_X30_Y50_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 3 2026, 17:11"
% Dimension,2
% Nodes,668
% Expressions,4
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=1,ec.Ey (V/m) @ idx=1,ec.Ex (V/m) @ idx=2,ec.Ey (V/m) @ idx=2
-14.680049698782625,-22.288664030523258,0.001670551029509748-4.337056958140283E-9i,-0.009936313192457358+2.579649200076139E-8i,0.009678988168331681-2.5128429028315762E-8i,-0.05556249168624955+1.4425042211979521E-7i
-14.471183362850324,-21.92882165175366,0.0031821227067400926-8.261374350813363E-9i,-0.011639965403239638+3.021948569834251E-8i,0.01806343990514858-4.6896003979927264E-8i,-0.06588842229482228+1.7105843241343956E-7i
-15,-22,1.0049748085216859E-5-2.6090989793241993E-11i,-0.01157840703582047+3.005966888279421E-8i,1.1028609819940804E-5-2.8632294442517615E-11i,-0.06488325510324888+1.6844883397238403E-7i
-14.05809124149982,-22.163193388912592,0.0049319403430959806-1.2804221962882713E-8i,-0.009563817590561819+2.48294250788123E-8i,0.02934402563810403-7.618247412108675E-8i,-0.05396481262053001+1.401025541490196E-7i
-14.010119121162065,-21.737853804470056,0.006492010156126216-1.6854449413740414E-8i,-0.011454555754261075+2.9738128233646418E-8i,0.03815948076230032-9.906901293981906E-8i,-0.06696117120953506+1.7384348540655685E-7i
-13.6646533243405,-22.095752190333098,0.006602782595810271-1.7142034989890007E-8i,-0.008750616568870348+2.271820603359917E-8i,0.04075969114956813-1.0581963614948897E-7i,-0.04902177522748367+1.2726952220856528E-7i
-13.585786437626599,-21.41421356237279,0.010008485892743724-2.5983865571783704E-8i,-0.010102844222168228+2.6228837106298777E-8i,0.06340984747742615-1.6462359745890866E-7i,-0.0631516702560525+1.6395332202605782E-7i
-13.000000000000002,-20,0.0075212050116273965-1.952642807855884E-8i,-1.9692763680556613E-4+5.11260274228801E-10i,0.1191185861450897-3.092537035734628E-7i,-1.320320053781477E-4+3.427793090444285E-10i
-12.599507054525743,-19.854369961539316,0.0057365210669808415-1.4893061133475982E-8i,-0.0033233525718888504+8.628032991303146E-9i,0.10053835914990376-2.6101602549610336E-7i,0.00828985023398227-2.1521972094307153E-8i
-13.071178348245631,-19.47118336285292,9.34780049618146E-4-2.4268605070589436E-9i,1.5327178936347385E-5-3.979216850527251E-11i,0.11835103204868781-3.0726099232087404E-7i,0.03171335757023047-8.233369450338075E-8i
-13.032272203932333,-21.566487908851443,0.009384737381507283-2.4364500001378357E-8i,-0.0074084721406766545+1.923375286317704E-8i,0.06517564329970782-1.6920792737303986E-7i,-0.04034540437266587+1.047440716700538E-7i
-13.262146195529098,-20.98988087883644,0.012172108002069887-3.1601025513790444E-8i,-0.006970425400310121+1.8096503159495143E-8i,0.08913749325093917-2.3141728597695111E-7i,-0.049962447084236805+1.2971167892787114E-7i
-13.071178348246406,-20.5288166371499,0.011523297409070135-2.991659418114905E-8i,-0.003180041951727164+8.25597232906603E-9i,0.1081525352184971-2.807838234953711E-7i,-0.028683336124483743+7.446720293116363E-8i
-12.561047315142943,-20.32787020278885,0.008333961134517906-2.163649208486057E-8i,-0.00410866543112146+1.0666849250301851E-8i,0.09510660686762366-2.4691420004174117E-7i,-0.00845123127941961+2.1940946895837474E-8i
-12.662033733827318,-20.830070629274374,0.00981251865923718-2.5475098680714924E-8i,-0.005291503253398476+1.373771324477923E-8i,0.08645344009544326-2.244489915588554E-7i,-0.023662976127267116+6.143342732438375E-8i
-12.786263835143851,-19.173068786003377,2.1107938999810616E-4-5.480008218540637E-10i,-0.004442003259353916+1.1532255407803297E-8i,0.09808943141938581-2.5465815981824153E-7i,0.03706395305677314-9.622482202665796E-8i
-13.262146195528643,-19.010119121164358,-0.005543423867683084+1.4391745377757466E-8i,-0.0034422480442401204+8.936707450536552E-9i,0.10711371015933163-2.780868430550285E-7i,0.06072644587287365-1.5765699458658657E-7i
-13.585786437626096,-18.585786437627714,-0.009914895617806193+2.5740888047624543E-8i,-0.010179242535478972+2.6427181143974528E-8i,0.08672374867576142-2.2515076222516665E-7i,0.08645635024996745-2.2445654685389177E-7i
-13.063907411686586,-18.480943278005615,-0.003994787231913784+1.0371200552636977E-8i,-0.009551404398883847+2.4797198155830657E-8i,0.07939445916948296-2.0612258200804016E-7i,0.06141153234880318-1.5943560476663247E-7i
-13.439976885091259,-18.206021394730165,-0.006248548957252613+1.6222379475162107E-8i,-0.012954917820781453+3.36333434203736E-8i,0.06853036067643266-1.7791738915199474E-7i,0.07710417974923736-2.0017659644985814E-7i
-14.010119121161676,-18.262146195530168,-0.010232642376696632+2.6565816928705633E-8i,-0.018127719625076887+4.7062885925873115E-8i,0.0602911059635699-1.565267723129482E-7i,0.10543828658391227-2.737371360737586E-7i
-14.06931979268707,-17.819537545470553,-0.005528709231363771+1.435354348226477E-8i,-0.019228586718895064+4.992093887061044E-8i,0.040557293788170676-1.0529417546671682E-7i,0.09350300340733216-2.427509512557226E-7i
-14.471183362853136,-18.07117834824557,-0.006526987378699649+1.694525670060006E-8i,-0.023901503208772518+6.205268738905468E-8i,0.031731201729637025-8.238002121493429E-8i,0.11556537720746989-3.0002892128638864E-7i
