% Model,20260626_TI_field_CompactY_X50_Y10_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 4 2026, 16:00"
% Dimension,2
% Nodes,1567
% Expressions,4
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=3,ec.Ey (V/m) @ idx=3,ec.Ex (V/m) @ idx=4,ec.Ey (V/m) @ idx=4
-22.136838446566777,-4.102774385453038,7.794620998706203E-5-2.1045716789175637E-10i,-3.9789034869142094E-5+1.074316197421233E-10i,7.756763807921785E-5-2.0943501207877364E-10i,-3.959579300245597E-5+1.0690986075117292E-10i
-21.9288216517546,-4.471183362853743,9.266111913711766E-5-2.5018787584860675E-10i,-2.5465231237420394E-5+6.875690873057613E-11i,9.221107971077447E-5-2.489727555348291E-10i,-2.5341550923633587E-5+6.842296807249283E-11i
-21.73785380447134,-4.010119121164328,9.397451057250455E-5-2.53734073178364E-10i,-5.3987400991134527E-5+1.4576764561476783E-10i,9.351810363548291E-5-2.5250176039035614E-10i,-5.3725200645893256E-5+1.4505969660686524E-10i
-22.409003130464235,-4.436065329538134,7.133623676322647E-5-1.9261003657749401E-10i,-2.2604650744601867E-5+6.103325328713643E-11i,7.098976496766028E-5-1.916745520561974E-10i,-2.2494866453707612E-5+6.073683232088759E-11i
-22,-5,9.180820721925442E-5-2.478849873953785E-10i,-2.568747964337703E-7+6.935698637285136E-13i,9.136230673169321E-5-2.4668104234454987E-10i,-2.556268970388409E-7+6.902004975309264E-13i
-21.41421356237378,-3.5857864376275925,8.737822818587898E-5-2.359239075530558E-10i,-8.860932364390672E-5+2.3924790321026576E-10i,8.695388129967285E-5-2.3477815789107445E-10i,-8.817900015359315E-5+2.380860165312239E-10i
-21.912178934111314,-3.4718193186397253,6.837718861579221E-5-1.846205154409364E-10i,-6.873980788676033E-5+1.8559959863955645E-10i,6.80450913610123E-5-1.837238426223277E-10i,-6.840597860881721E-5+1.8469824930511284E-10i
-20.9898808788387,-3.262146195530385,6.745239112260215E-5-1.821235337199772E-10i,-1.2048702863315386E-4+3.253186885874539E-10i,6.712484829994592E-5-1.8123915800723347E-10i,-1.1990195913311186E-4+3.237389829153484E-10i
-21.378659910952685,-3.032711823260439,5.841269533591043E-5-1.5771607665444484E-10i,-9.786609574561345E-5+2.642414730123446E-10i,5.812899337258037E-5-1.5695007261841292E-10i,-9.739086021811615E-5+2.6295832244887586E-10i
-20.528816637146925,-3.071178348245588,3.641356837558174E-5-9.831775623762324E-11i,-1.3743704360897387E-4+3.7108425111617646E-10i,3.6236777983700286E-5-9.784041673248805E-11i,-1.3676979153613342E-4+3.692826499644331E-10i
