x (mm),y (mm),Ex_f1 (V/m),Ey_f1 (V/m),|E_f1| (V/m),Ex_f2 (V/m),Ey_f2 (V/m),|E_f2| (V/m),AM_max (V/m)
-22.136838446566777,-4.102774385453038,0.06099322780414744,-0.03131498158723689,0.06856239428270873,3.785719078441775e-07,-1.932418666861265e-07,4.250401256929975e-07,8.50080251385995e-07
-21.9288216517546,-4.471183362853743,0.07252302982828619,-0.019931380536134007,0.07521203218601842,4.5003942634319616e-07,-1.236803137868066e-07,4.6672508533580664e-07,9.334501706716133e-07
-21.73785380447134,-4.010119121164328,0.07385354142598799,-0.04245186186595806,0.08518512873175992,4.5640693702164725e-07,-2.6220034524127023e-07,5.263613903071949e-07,1.0527227806143898e-06
-22.409003130464235,-4.436065329538134,0.055738180526057626,-0.01775760829535637,0.05849852494487959,3.4647179556618335e-07,-1.0978429089425479e-07,3.6344916515244537e-07,7.268983303048907e-07
-22.0,-5.0,0.07176793942169535,-0.00019383770661196564,0.0717682011889154,4.459004875612127e-07,-1.2478993949294193e-09,4.4590223374662195e-07,8.918044674932439e-07
-21.41421356237378,-3.5857864376275925,0.06938615516403274,-0.0704379883733417,0.09887339750676238,4.2434688620612837e-07,-4.3032349031357775e-07,6.043579950232285e-07,1.208715990046457e-06
-21.912178934111317,-3.4718193186397253,0.05343791387209852,-0.05456908300760095,0.07637666829138505,3.3209725477990914e-07,-3.3382927794312067e-07,4.708827597655038e-07,9.417655195310076e-07
-20.9898808788387,-3.262146195530385,0.05489901248825929,-0.09827177545152099,0.11256661770960436,3.275428226562349e-07,-5.850695000420014e-07,6.705151903969151e-07,1.3410303807938302e-06
-21.378659910952685,-3.032711823260439,0.0453790967784881,-0.07917436174312642,0.0912570105902162,2.8370196333005735e-07,-4.752355274972972e-07,5.5347593497185e-07,1.1069518699437e-06
-20.528816637146925,-3.071178348245588,0.031196606661751614,-0.11844169749839417,0.12248128009418074,1.7679039188145396e-07,-6.672520728404508e-07,6.902754315282244e-07,1.3805508630564487e-06
-20.79971030752103,-2.7507628660918644,0.028702220559377767,-0.09783595630052891,0.10195926544595234,1.9142804242311949e-07,-5.641870350459017e-07,5.957782355372115e-07,1.191556471074423e-06
-20.52881663714981,3.0711783482463786,-0.0314887168481625,-0.11761899772627649,0.12176111002646775,-1.8068340363701352e-07,-6.613655236612783e-07,6.856025439258615e-07,1.371205087851723e-06
-20.98988087883824,3.2621461955301183,-0.05500203030962364,-0.09770216495660818,0.1121201871894131,-3.295196322333771e-07,-5.812128066329247e-07,6.68125373430273e-07,1.336250746860546e-06
-20.92880570101305,2.632472098600689,-0.027760104078471293,-0.0912310982810384,0.09536108573213732,-1.9109504526918652e-07,-5.328030377478311e-07,5.660356820552474e-07,1.1320713641104948e-06
-21.41421356237262,3.5857864376264303,-0.06942832741977778,-0.0695957650274295,0.09830494981465096,-4.2504551667210677e-07,-4.249191289697196e-07,6.010157713466789e-07,1.2020315426933578e-06
-21.637973539842942,3.04114290585134,-0.04436865804661157,-0.06937008959139371,0.08234553507492157,-2.794078054850073e-07,-4.19793166890156e-07,5.042767342775334e-07,1.0085534685550668e-06
-21.73785380447121,4.010119121164105,-0.07360645586533393,-0.041991338790444255,0.08474186024904823,-4.54947737246747e-07,-2.59303804123201e-07,5.236562865646688e-07,1.0473125731293376e-06
-22.01535837922886,3.646340454269068,-0.05568139357638255,-0.04741996623160441,0.07313734195344071,-3.459303135389032e-07,-2.908986870601995e-07,4.5198432269103294e-07,9.039686453820659e-07
-22.20170694198945,4.17237861545709,-0.05978832272230652,-0.02808299816712703,0.06605526716319852,-3.712832456426255e-07,-1.7333196208335757e-07,4.09750189230693e-07,8.19500378461386e-07
-21.92882165175453,4.471183362853514,-0.0724277143520673,-0.019795913754461436,0.07508429934173143,-4.494218729944599e-07,-1.2277995892207016e-07,4.658915520147942e-07,9.317831040295884e-07
-20.0,-3.0,-0.0004753491363836566,-0.12704265603609102,0.12704354532799372,1.831909454425712e-09,-6.178574899022018e-07,6.178602056456611e-07,1.2357204112913223e-06
-20.11489307241213,-2.573610636821743,0.0029058040880388615,-0.10599781799096218,0.10603764009182404,8.499868352912499e-08,-5.556413640942366e-07,5.621050628611953e-07,1.1242101257223905e-06
-20.39535669942895,2.446344560409287,-0.011437722295337571,-0.09866925307511795,0.09932997026933481,-1.2547031494336558e-07,-5.514846204087055e-07,5.655776573374529e-07,1.1311553146749059e-06
-20.0,3.0,-0.0002691234858046935,-0.1270123033460783,0.12701258846558017,-8.391029574876138e-09,-6.232136575504978e-07,6.232701439462632e-07,1.2465402878925264e-06
-22.28822784945541,4.693506054027852,-0.06115395945169444,-0.010198824325090783,0.06199857074347401,-3.8001833710388233e-07,-6.311589018093144e-08,3.852240284932021e-07,7.704480569864042e-07
-22.0,5.0,-0.07134910257319094,-5.997660919243586e-06,0.07134910282527494,-4.4325205775241905e-07,-7.23783533107536e-11,4.432520636617272e-07,8.865041273234544e-07
-19.471183362850766,-3.071178348246222,-0.032822630555013506,-0.1210225988291872,0.12539455532008273,-9.666380071035596e-08,-3.9579878885476205e-07,4.0743167724990154e-07,8.148633544998031e-07
-19.668449274409035,-2.5276777763335625,-0.012793440049559787,-0.1027736296113847,0.10356684339980518,7.345564658386114e-08,-4.915519172856429e-07,4.970100797793186e-07,9.940201595586372e-07
-19.819830735583253,2.55374277854444,0.007163063135584466,-0.10520839383818543,0.10545195876556825,-7.26957040652256e-08,-5.207482792942282e-07,5.257979039302442e-07,1.0515958078604884e-06
-19.47118336285081,3.071178348246208,0.0324401759707692,-0.12123372001034124,0.12549892383825562,9.263816080212761e-08,-3.9907167985464564e-07,4.096828462345106e-07,8.193656924690212e-07
-19.050394141205327,-2.843374947786351,-0.039323769703390576,-0.09749293054687182,0.10512483231997315,1.1159134323257615e-07,-2.83807515649709e-07,3.0495792139852744e-07,6.099158427970549e-07
-19.01011912116235,-3.2621461955297866,-0.05931954012096996,-0.10438951825688057,0.1200665622147439,-5.108500650274905e-09,-3.84659819344102e-08,3.8803718186176833e-08,7.760743637235367e-08
-17.727565798101292,-4.7007431503371215,-0.0860521974227978,-0.01214189768348839,0.08690458193126797,1.6447767165472804e-06,1.1730139207188905e-07,1.6489542334091797e-06,3.2979084668183594e-06
-18.071178348245617,-4.471183362852978,-0.09702124646831334,-0.02632168373309035,0.10052837062645568,1.5921908899790838e-06,4.189993169229078e-07,1.6463997867207862e-06,3.2927995734415723e-06
-18.000000000000004,-5.0,-0.09887190716490535,-0.0002842416420347771,0.09887231573972934,1.8468405361959928e-06,2.6193351987391367e-08,1.8470262742649433e-06,3.6940525485298866e-06
-19.01011912116272,3.2621461955295774,0.05872834983823405,-0.10450111407974236,0.11987285730568589,6.1555937754438384e-09,-4.749943706879553e-08,4.789663721578739e-08,9.579327443157478e-08
