% Model,20260626_TI_field_Base_X50_Y50_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 2 2026, 22:41"
% Dimension,2
% Nodes,1829
% Expressions,4
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=1,ec.Ey (V/m) @ idx=1,ec.Ex (V/m) @ idx=2,ec.Ey (V/m) @ idx=2
24.693005398128413,22.28973579510803,82.46649158810033-1.2512229064661824i,-509.7703958861093+7.734491720078495i,603.4038970046677-9.155146087192406i,-3724.6009112135507+56.511510163949424i
24.47118336285124,21.92882165175391,162.8436609851051-2.470745570395138i,-597.6670258075465+9.068103404551493i,1190.555712972302-18.0637074623628i,-4368.934040129185+66.28765505354386i
25,22,0.41291627642931417-0.006264972521876189i,-594.0205082938191+9.012776614796621i,2.8948150910437107-0.04392158413247671i,-4340.566316887271+65.85724575096538i
24.160764740288503,22.206993242252526,225.0525296786829-3.414609678061015i,-493.18251450361566+7.482812077163726i,1648.1593518170528-25.006699021520035i,-3604.3591221833603+54.68714152835746i
24.010119121161605,21.737853804469793,335.9026242412365-5.0964828223008i,-590.5616193520036+8.960296619689188i,2459.0159799602116-37.30942183008301i,-4322.357187234447+65.5809677174384i
23.61775468964029,21.959470398994622,376.15735700521907-5.707247785836091i,-464.1564114859386+7.042413507024321i,2760.2615835832667-41.88007098065227i,-3393.6715068675576+51.49048352467362i
23.585786437626492,21.414213562372687,522.3835693028777-7.925865103354852i,-523.6671045192634+7.945339542409329i,3835.3879767073668-58.19242699953884i,-3843.3193459154572+58.31276570488626i
23.045634857616623,21.52958489826001,503.24849298816054-7.635538143391092i,-382.22555815198575+5.799317572351508i,3709.358274463186-56.28024124627018i,-2793.4369744585515+42.38342462387906i
23.262146195529965,20.989880878837976,647.0927714180361-9.818015567500538i,-369.5413333874967+5.606866162452434i,4776.469302786281-72.47098413697495i,-2725.922978596296+41.35906847020124i
23,20,441.04104280495085-6.691695558076693i,-10.872589324212944+0.16496436981014995i,3349.4605679907836-50.8196930205595i,-79.3018613603587+1.203207551962502i
22.543000182626702,19.742975759262958,311.56344482468245-4.727196604056222i,-186.5601978009259+2.8305847433145055i,2394.6631908534036-36.33302908843201i,-1342.5592393643622+20.369981082509703i
23.071178348245958,19.471183362851708,101.65455889859004-1.542353872361976i,15.009150770454047-0.22772635150674128i,870.8750778177442-13.21335278199937i,142.42830133748552-2.1609935106777507i
23.071178348245425,20.528816637146335,629.2963845558892-9.54799987426918i,-175.65968918141152+2.6651967679852078i,4686.949132292066-71.1127392817131i,-1306.2771734601508+19.81949140998889i
