% Model,20260626_TI_field_Base_X50_Y50_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 3 2026, 15:32"
% Dimension,2
% Nodes,713
% Expressions,4
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=1,ec.Ey (V/m) @ idx=1,ec.Ex (V/m) @ idx=2,ec.Ey (V/m) @ idx=2
24.693005398128413,22.28973579510803,3.0244674448504094E-4-7.852072367072481E-10i,-0.0018695884073692548+4.853794507200833E-9i,9.563198105286275E-5-2.4827816781958645E-10i,-5.903027234832325E-4+1.5325341693045963E-9i
24.47118336285124,21.92882165175391,5.972308773691259E-4-1.5505209278631749E-9i,-0.002191950242565799+5.6907049730892965E-9i,1.8868821024983773E-4-4.898692112583031E-10i,-6.924214765777759E-4+1.7976531874340835E-9i
25,22,1.5143748841595084E-6-3.931595027270674E-12i,-0.0021785766003807883+5.655984544391254E-9i,4.587920334198081E-7-1.1911082931416076E-12i,-6.879255467601153E-4+1.7859809287814673E-9i
24.160764740288503,22.206993242252526,8.253825720987873E-4-2.1428445849518644E-9i,-0.0018087521740612455+4.695852484301805E-9i,2.612126714527485E-4-6.781560181512496E-10i,-5.712459017623517E-4+1.4830591638842367E-9i
24.010119121161605,21.737853804469793,0.0012319264856360812-3.1983071705471476E-9i,-0.0021658910880011095+5.623050626932249E-9i,3.8972331926478976E-4-1.011793236906724E-9i,-6.850396271459863E-4+1.7784885520110817E-9i
23.61775468964029,21.959470398994622,0.0013795611508215927-3.5815938469758697E-9i,-0.0017022986291892917+4.419479551453546E-9i,4.3746698482773625E-4-1.1357445519438573E-9i,-5.378545462618956E-4+1.396369078908191E-9i
23.585786437626492,21.414213562372687,0.001915847356477568-4.973891225931802E-9i,-0.0019205547356833663+4.986112445984418E-9i,6.078610896139494E-4-1.5781189091064537E-9i,-6.091181125696954E-4+1.5813823713177791E-9i
23.045634857616623,21.52958489826001,0.0018456692583771587-4.791696008124386E-9i,-0.0014018163437676072+3.6393724108911086E-9i,5.878869559435007E-4-1.5262623935671783E-9i,-4.4272486991755083E-4+1.149394986268123E-9i
23.262146195529965,20.989880878837976,0.002373219695958634-6.161313730460457E-9i,-0.0013552968130746135+3.518599174558953E-9i,7.570107255193137E-4-1.965338727463222E-9i,-4.320247448323655E-4+1.1216154984571658E-9i
23,20,0.0016175227660447655-4.19938585742035E-9i,-3.987533823520314E-5+1.0352369373817081E-10i,5.308476646532038E-4-1.378177928735803E-9i,-1.2568354530340109E-5+3.262975419964247E-11i
22.543000182626702,19.742975759262958,0.0011426622834607725-2.9665609249608806E-9i,-6.84211531113326E-4+1.7763386627767842E-9i,3.795242059711817E-4-9.853144676338786E-10i,-2.12778870631298E-4+5.524129853675577E-10i
23.071178348245958,19.471183362851708,3.728191876319527E-4-9.679070098942815E-10i,5.504622181295993E-5-1.4291009081091735E-10i,1.3802282244631167E-4-3.5833256925096714E-10i,2.2573106807051897E-5-5.860392661869271E-11i
23.071178348245425,20.528816637146335,0.0023079512558194146-5.991864885456286E-9i,-6.44233798560249E-4+1.6725491346040226E-9i,7.428228966188851E-4-1.9285045206826845E-9i,-2.0702861635255956E-4+5.374842702950515E-10i
22.69863375001255,20.86203368257099,0.0019843707746651368-5.151790591103961E-9i,-0.0010076499420511125+2.6160441167878994E-9i,6.373417514076279E-4-1.6546561157542366E-9i,-3.176330713254849E-4+8.246337273090766E-10i
22.523637796534757,20.385932298471104,0.0017494532096000576-4.541901493353008E-9i,-8.076005149517118E-4+2.0966791022164465E-9i,5.672117309628808E-4-1.472585716369942E-9i,-2.529406657953796E-4+6.566803738404254E-10i
