% Model,20260626_TI_field_CompactY_X50_Y10.mph
% Version,COMSOL 6.3.0.335
% Date,"Jun 30 2026, 17:22"
% Table,Table 2 - Point Evaluation 1
% Time (s),"withsol('sol1', ec.normE, setval(t,t)) (V/m), Point: (0, 0)","withsol('sol1', ec.normE, setval(t,t)) (V/m), Point: (15, -3)","withsol('sol1', ec.normE, setval(t,t)) (V/m), Point: (-15, -3)","withsol('sol1', ec.normE, setval(t,t)) (V/m), Point: (5, 3)","withsol('sol1', ec.normE, setval(t,t)) (V/m), Point: (-5, 3)","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: (0, 0)","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: (15, -3)","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: (-15, -3)","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: (5, 3)","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: (-5, 3)","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: (0, 0)","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: (15, -3)","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: (-15, -3)","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: (5, 3)","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: (-5, 3)","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: (0, 0)","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: (15, -3)","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: (-15, -3)","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: (5, 3)","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: (-5, 3)","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: (0, 0)","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: (15, -3)","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: (-15, -3)","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: (5, 3)","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: (-5, 3)","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: (0, 0)","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: (15, -3)","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: (-15, -3)","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: (5, 3)","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: (-5, 3)"
0,69.03334848312218,0.649985301674552,7957.62315897418,15.607558237162594,315.35420438476973,70.01040603081456,7969.287590566055,0.650624758638779,335.4729661509894,14.994778599251703,106.72784345718887,4290.93067097079,7957.507844328344,176.98698612593978,313.28727987607897,3.789060022813109E-4,3.567599393781835E-6,0.043677313140405793,8.566580684496096E-5,0.001730896784113701,3.8420495148040425E-4,0.043734066486047427,3.5705156989767793E-6,0.0018410173857054631,8.228874121440194E-5,5.857668442134419E-4,0.02354788222776236,0.04367668031364675,9.712711091226227E-4,0.001719553772641549
4.8076923076923084E-5,66.21918551883589,0.6234884765386745,7633.228516822329,14.971311939987807,302.49870567129767,66.92523081537036,7618.101960413667,0.6219534297077669,320.6895512374281,14.333997982222739,102.25257885745579,4101.839855398596,7633.11828376826,169.1777284642142,300.5225451741612,3.6342810597773625E-4,3.4218668555345082E-6,0.04189314260857062,8.216645221049962E-5,0.0016601915411896047,3.6723648779546115E-4,0.041802545520209296,3.4128233898562125E-6,0.0017597086036808761,7.865444782074263E-5,5.611528889199408E-4,0.022507882742115574,0.04189253773056634,9.283201962709167E-4,0.0016493477324105693
9.615384615384617E-5,57.40832787294403,0.5405296154836048,6617.581928702536,12.979289579067173,262.2494484076604,57.288947712215844,6521.203431938541,0.5324009656725143,274.5148086732596,12.270105771857418,88.25341164529394,3511.2307998831634,6617.487567572583,144.78720258597747,260.55682752009284,3.1331179806250875E-4,2.949995445051437E-6,0.036116127567702855,7.083579519319269E-5,0.0014312530823638427,3.124271828512628E-4,0.035563599933362146,2.9034663839162634E-6,0.001497075644600327,6.691543016020531E-5,4.8152648490414453E-4,0.019148613258049053,0.036115612966117934,7.895917458024391E-4,0.001422021999817514
1.4423076923076924E-4,43.398671544491776,0.40862132919741756,5002.658589502014,9.811885247196875,198.25133557900148,42.04482325142008,4785.964075649276,0.3907333856616229,201.4686439790138,9.005130117688779,66.03610737493489,2576.9166434820054,5002.589336985057,106.20620905384317,197.00743170737334,2.3482251668944157E-4,2.210977559457138E-6,0.0270684986041702,5.309037132283389E-5,0.0010727028247852644,2.2703532844140092E-4,0.025843441398866646,2.109897858678971E-6,0.001087898490686941,4.862626396837023E-5,3.5706104576085473E-4,0.013914936636930688,0.027068124651599235,5.734762746477558E-4,0.0010659853316299201
1.9230769230769233E-4,25.45890673160984,0.2397090034868507,2934.7031581290353,5.755933591505265,116.29992537326113,22.685058547266202,2582.241209862969,0.2108180994625854,108.7013246975192,4.858669585169904,37.67278182017498,1390.3548990667891,2934.665793134654,57.21777353089147,115.62637084386212,1.350681151564132E-4,1.2717373777402447E-6,0.01556959331721465,3.053717543200019E-5,6.170104584064619E-4,1.1941967423554636E-4,0.013593546758405973,1.1097978305113437E-6,5.722302526706283E-4,2.5577220260208218E-5,1.9936491357493646E-4,0.0073191634800640355,0.015569396618702347,3.0116567907449395E-4,6.134635764450797E-4
2.4038461538461543E-4,5.213627445833846,0.04908904584031227,600.9860946466205,1.1787345648982406,23.816595475476667,1.104722256409143,125.7505829228378,0.010266468832095529,5.293562387968023,0.23660862131304558,5.808403090113567,67.69493351627129,600.9842749647726,2.768973920681203,23.782773292541048,2.3082179190172273E-5,2.1733086303779163E-7,0.0026607326418234575,5.218585855491541E-6,1.0544269420404E-4,1.1439026972095251E-7,1.3021049423073921E-5,1.0630582771844609E-9,5.481305603051071E-7,2.4500026004731545E-8,2.3143765344658995E-5,6.939359411661697E-6,0.0026607324533992377,5.145298157600212E-6,1.0543915999811817E-4
2.884615384615385E-4,15.503788906131396,0.14597633072536184,1787.1552280478177,3.505208621138816,70.82352403399989,20.583751945957783,2343.0493872296097,0.19129011529838902,98.63237069053528,4.408613242947142,26.586442181812743,1261.5916269543306,1787.121325026183,52.255148199930204,70.22468187687653,9.099403892171962E-5,8.567567579832209E-7,0.010489079370516118,2.057258981219191E-5,4.1567377765150816E-4,1.1920209101270852E-4,0.013568779250600333,1.1077757735079865E-6,5.711876463883106E-4,2.5530618441445872E-5,1.551745073828321E-4,0.0073059702346811115,0.010488883035305811,3.0255561492875893E-4,4.122029428613123E-4
3.365384615384616E-4,34.81720900308856,0.32782234376002034,4013.454870460803,7.871726189032027,159.04998794533495,40.257345092421595,4582.495358375014,0.374121890146843,192.90348011371347,8.622289326373021,56.49236935136082,2467.3844292459357,4013.388562850716,101.98882844506082,157.8693063954798,1.968299945630854E-4,1.8532579717753577E-6,0.02268901853281559,4.450074739913322E-5,8.991475525726962E-4,2.268502410970101E-4,0.025822372898330923,2.1081777942544272E-6,0.0010870115968100948,4.858662209356936E-5,3.18969564705268E-4,0.013903715418196468,0.022688644889183623,5.746782200567798E-4,8.924932483826199E-4
3.8461538461538467E-4,50.97764299154431,0.4799813334654945,5876.302995190745,11.5253938750825,232.8731605846884,55.99026881182275,6373.374755720096,0.5203320077272449,268.29185286578445,11.991955655511367,81.12359519093293,3431.6516240365686,5876.21077367072,141.73104102953158,231.2266113265202,2.8484136700656287E-4,2.681931355371252E-6,0.03283427949724019,6.439899442216472E-5,0.0013011960833709797,3.1229270902416754E-4,0.03554829277172167,2.902216683960857E-6,0.0014964312784809721,6.6886628652273E-5,4.5298416627160225E-4,0.019140463381066668,0.032833765120148566,7.904997702402228E-4,0.0012920114122452041
4.3269230769230776E-4,62.52162997581233,0.5886740454281492,7207.003304409733,14.135341865510057,285.6077433746593,66.24247491278106,7540.383826062235,0.6156084030250154,317.4179497600958,14.18776581222009,98.18747307403754,4060.0036351788804,7206.894196241478,167.58436424349807,283.6561755951993,3.470579988888831E-4,3.2677336832573802E-6,0.04000612501276224,7.84653801148829E-5,0.001585410551854236,3.671657907207915E-4,0.041794498069096624,3.412166383708466E-6,0.001759369840364335,7.863930597194681E-5,5.447450096609477E-4,0.022503602651202916,0.040005520252891266,9.288561750680077E-4,0.001574592697962184
