% Model,20260626_TI_field_Base_X50_Y50_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 7 2026, 21:50"
% Dimension,2
% Nodes,868
% Expressions,2
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=4,ec.Ey (V/m) @ idx=4
23.585786437626712,-21.414213562372904,-0.059181801345556284+1.5979268656771926E-7i,-0.058341321568914736+1.5752336528208095E-7i
23.465191922984697,-21.86580748972194,-0.04706832236284053+1.270859201915509E-7i,-0.04513428705045045+1.2186396527540532E-7i
24.010119121162585,-21.737853804470355,-0.03545440741787409+9.572799210501821E-8i,-0.061634178454075345+1.664141802995301E-7i
24.08500383556119,-22.101937914854087,-0.027092098631207852+7.314950080280065E-8i,-0.051494655952962876+1.3903715722608126E-7i
24.47118336285307,-21.92882165175441,-0.01657328259980395+4.474837351443452E-8i,-0.06037799019498439+1.6302243330651332E-7i
23.081312658686734,-21.316244660495894,-0.06921579159767481+1.8688476931827361E-7i,-0.03963763875804362+1.0702284557656908E-7i
23.26214619552826,-20.989880878834974,-0.08358327778428548+2.2567742457351676E-7i,-0.046978043617934895+1.2684216479951382E-7i
22.880137703481516,-20.859324181470896,-0.08492307032845887+2.2929490571148104E-7i,-0.02880743897486515+7.778097256709987E-8i
23.071178348245418,-20.528816637146306,-0.10318239927288711+2.785956562904839E-7i,-0.027652392534095904+7.46623115989284E-8i
24.429748771956834,-22.39994826561793,-0.015033841691598085+4.059183564399309E-8i,-0.04655915302825355+1.2571114730459216E-7i
25,-22,-1.553683806629902E-4+4.1949941349409746E-10i,-0.05969622490072457+1.6118164601210511E-7i
22.612936478421332,-20.263959702636477,-0.09438433620366286+2.5484061500312934E-7i,-0.005044124856279956+1.36192924825214E-8i
23,-20,-0.11620112867515557+3.1374662668324177E-7i,2.0469027291755587E-4-5.526700418006626E-10i
23.071178348245784,-19.471183362852344,-0.11802383984233611+3.1866800297827794E-7i,0.03184159523890554-8.597328793894246E-8i
22.485380490418535,-19.706571548066304,-0.09393141398400043+2.536177110590042E-7i,0.015773043343843298-4.258770287414614E-8i
23.26214619552975,-19.010119121162404,-0.10980046396071691+2.9646463479912315E-7i,0.06250830404294677-1.6877434631455816E-7i
22.662304899383358,-19.15438902827389,-0.09360067937156047+2.527247174180374E-7i,0.036999801834141-9.990060463062483E-8i
23.585786437627075,-18.585786437626734,-0.09088836600841874+2.454013877920958E-7i,0.0914799036327797-2.4699855759857927E-7i
23.025658481777626,-18.433079579411665,-0.07909549590597824+2.1356027526815393E-7i,0.06505877871137138-1.7566070647974828E-7i
