% Model,20260626_TI_field_CompactY_X50_Y10_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 8 2026, 17:03"
% Dimension,2
% Nodes,485
% Expressions,2
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=4,ec.Ey (V/m) @ idx=4
21.737853804471214,-4.010119121164105,0.0416262161622614-1.1239206582071594E-7i,0.023766132837953702-6.416929071369649E-8i
22.08678420538845,-3.673350785302824,0.02995999850150599-8.089291879047742E-8i,0.026072359037259657-7.039617248882546E-8i
21.41421356237262,-3.5857864376264303,0.04067547643601832-1.0982503927488197E-7i,0.0410951824083981-1.1095825832820628E-7i
22.172188090221027,-4.086071762629664,0.03291878878528374-8.888174369416795E-8i,0.017794783903807933-4.804646466029534E-8i
21.928821651754532,-4.471183362853514,0.040165215360087214-1.0844731865267044E-7i,0.011012891689312299-2.9735146783375796E-8i
22.289575179177763,-4.690725872237689,0.033620025446435275-9.077510427899036E-8i,0.005775681357493512-1.5594517569433592E-8i
22,-5,0.03930845813987216-1.0613404776797267E-7i,-1.0452366367763588E-5+2.8221711151272974E-11i
21.609401959807272,-3.0341351112666035,0.023752898280296437-6.413355700035465E-8i,0.043130794555385266-1.164544738265466E-7i
20.989880878838242,-3.2621461955301183,0.03425775803635478-9.249700191539019E-8i,0.061735888911271436-1.6668880166689107E-7i
20.52881663714981,-3.0711783482463786,0.02134489118661372-5.7631863675284334E-8i,0.08203061379648229-2.2148518398084994E-7i
20.898909801418306,-2.6317572760899903,0.01187987565472052-3.2076030195058934E-8i,0.06177493702547989-1.667942327780111E-7i
20,-3,-7.02104169439158E-4+1.895702883901145E-9i,0.10137218608009313-2.737080249112035E-7i
20.327016553008225,-2.4098515258080075,-0.004062779340864837+1.096962936321553E-8i,0.07196668459902257-1.9431226515569348E-7i
19.723957781511245,-2.5915450896366696,-0.02099253663659148+5.66804955368835E-8i,0.0882312604848331-2.382271210334702E-7i
19.471183362850812,-3.071178348246208,-0.031796710948943985+8.585209897350278E-8i,0.1153752445354308-3.1151671406683235E-7i
19.12075549025067,-2.869878191288914,-0.05077072743762214+1.3708252793599818E-7i,0.10010424339983821-2.7028454061898554E-7i
