% Model,20260626_TI_field_Base_X50_Y50_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 3 2026, 15:32"
% Dimension,2
% Nodes,713
% Expressions,4
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=3,ec.Ey (V/m) @ idx=3,ec.Ex (V/m) @ idx=4,ec.Ey (V/m) @ idx=4
24.693005398128413,22.28973579510803,-0.007909541699692046+2.1356006221124295E-8i,0.047116655863731816-1.2721642213273905E-7i,-1.4043457743842525E-4+3.7917768479457244E-10i,8.654012925065624E-4-2.3366101461026925E-9i
24.47118336285124,21.92882165175391,-0.015302166183447263+4.1316320036987646E-8i,0.0559472645309842-1.510593375372693E-7i,-2.768259475835477E-4+7.474385853471746E-10i,0.0010156857959266186-2.7423829344582833E-9i
25,22,1.7742670712639352E-6-4.7905757446111525E-12i,0.055035860709588214-1.4859851914615847E-7i,-6.39553591641473E-7+1.7268144009112684E-12i,0.0010086271047662354-2.7233242508908427E-9i
24.160764740288503,22.206993242252526,-0.022083896882168764+5.962720181636109E-8i,0.04588408524368233-1.2388844349262824E-7i,-3.8398410224319555E-4+1.036768903646089E-9i,8.377213252452221E-4-2.2618733818989047E-9i
24.010119121161605,21.737853804469793,-0.03267631203970356+8.822704901228582E-8i,0.0571157951751623-1.5421440626995607E-7i,-5.726414234707988E-4+1.546149482039797E-9i,0.0010063144362752463-2.7170799747399517E-9i
23.61775468964029,21.959470398994622,-0.038865266285744+1.0493741611050874E-7i,0.04356220956414578-1.1761930763880425E-7i,-6.445742687621215E-4+1.7403703800105016E-9i,7.891380375776525E-4-2.130697008718742E-9i
23.585786437626492,21.414213562372687,-0.05498499034594076+1.4846116759739465E-7i,0.05450003328596342-1.4715176859767068E-7i,-8.962279994862848E-4+2.4198432044916776E-9i,8.976705717473887E-4-2.4237381940270826E-9i
23.045634857616623,21.52958489826001,-0.05827607518490844+1.5734719803552823E-7i,0.034750566648558356-9.382760034796765E-8i,-8.707173396698756E-4+2.350963637190407E-9i,6.491926165739237E-4-1.7528400613656532E-9i
23.262146195529965,20.989880878837976,-0.07887542131888198+2.1296606710419623E-7i,0.0441448287201755-1.1919239730607357E-7i,-0.0011231486501553922+3.032535950960163E-9i,6.404740651887175E-4-1.7292997040752804E-9i
23,20,-0.1131945345647148+3.056287299750421E-7i,-1.4662233535034375E-4+3.958848217500655E-10i,-8.141499747202537E-4+2.198230009427715E-9i,1.8359956348135142E-5-4.9572447670575115E-11i
22.543000182626702,19.742975759262958,-0.09400977915465154+2.5382929943357096E-7i,-0.015592109564596683+4.209917609699903E-8i,-5.899045820136131E-4+1.5927605418461746E-9i,3.0548819034315056E-4-8.248275236628293E-10i
23.071178348245958,19.471183362851708,-0.11764824294837213+3.176538797953119E-7i,-0.031639906710968724+8.542872270104047E-8i,-2.3946174102521903E-4+6.465540767368862E-10i,-4.261713982867121E-5+1.1506759024368015E-10i
