% Model,20260626_TI_field_CompactXY_X10_Y10_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 3 2026, 20:44"
% Dimension,2
% Nodes,277
% Expressions,4
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=3,ec.Ey (V/m) @ idx=3,ec.Ex (V/m) @ idx=4,ec.Ey (V/m) @ idx=4
-4.757810477258108,-4.737161513544736,0.001459283428590613-3.9401102064604125E-9i,-0.0017666014456546586+4.769878318625462E-9i,9.55380180906934E-4-2.5795559163426765E-9i,-0.0011565524849613262+3.1227273338529373E-9i
-4.509569930730237,-4.438937427344177,0.001485262544511437-4.01025461966015E-9i,-0.005392955645396602+1.4561146357934015E-8i,9.724888423116029E-4-2.625749829120903E-9i,-0.003530825115768313+9.533336570060226E-9i
-5,-4.500000000000001,-2.0552626012054764E-4+5.549272330057611E-10i,-0.0024580166306916174+6.636720615393655E-9i,-1.345544844963409E-4+3.6330125272646233E-10i,-0.001609213697768952+4.3449265514354156E-9i
-4.066253656949888,-4.629995570663171,0.008821707590511273-2.3818882223130735E-8i,-0.005856199729631818+1.5811919654343917E-8i,0.005774939161862602-1.5592513618351793E-8i,-0.0038315360688774697+1.0345265406039242E-8i
-4.0367080448186465,-4.252731756168891,0.00786776198244656-2.1243199697652342E-8i,-0.013731817111814678+3.707632917324381E-8i,0.005158726792949486-1.392872124153683E-8i,-0.008999401333220212+2.429866080181846E-8i
-3.603143032659244,-3.931359707687619,0.021440426609842068-5.788981226070397E-8i,-0.02148686167191777+5.801518835861785E-8i,0.014138734716908954-3.8175019240990765E-8i,-0.014155328010356452+3.821982164441154E-8i
-3.5110353837298627,-4.458308669802791,0.019402837261423684-5.238825825756972E-8i,-0.00923205062234492+2.4926821048587264E-8i,0.012727940533469357-3.436583149002071E-8i,-0.005997277959285873+1.619283521993927E-8i
-3.2238662481685614,-4.021690962232967,0.027905450846596187-7.534557683746758E-8i,-0.014852938054736716+4.010339025222126E-8i,0.018530471129776564-5.003284283125405E-8i,-0.009639335555780148+2.6026502914168023E-8i
-3.2702817135208733,-3.5040292074535047,0.03747471373559958-1.0118288139293466E-7i,-0.02168650380322978+5.855422826259492E-8i,0.02517065632534758-6.796154739217092E-8i,-0.014541538266510796+3.9262601232188295E-8i
-2.8535300978496916,-3.491787617323363,0.038727786815419385-1.0456621730596857E-7i,-0.014176901790096263+3.827807151423291E-8i,0.026402123951133376-7.128654791381327E-8i,-0.009191141975468064+2.4816366441940406E-8i
